Name,Score
Ashley Martin,71
Joshua Smith,52
Jennifer Curtis,61
Chad Bond,99
Rita Ortiz,70
John Johnston,75
Jasmine Hunter,91
Kathleen Hawkins,94
Sandra Woods,60
William Smith,97
Mrs. Deborah Gibson MD,52
Anne Blackwell,82
Jennifer Edwards,59
Breanna Caldwell,65
Evan Knight,84
Monique Moore,71
Jon Fischer,53
Ryan Curtis,93
Keith Gibson,59
Kristina Greene,93
Cody Thomas MD,89
Laura Wagner,57
Anthony Winters,100
Ashley French,85
Derrick Garcia,98
Frederick Murillo,61
Rebecca Johnson,58
Douglas Bean,70
Troy Lewis,51
David Ramsey,50
Michael Hernandez,61
Phillip Owens,76
Joanna Smith,68
Tina Rowe,73
Kelsey Thompson,95
Sheila Martin,82
Samuel Duarte,84
Stacy Contreras,53
Jason Rhodes,77
Abigail Walker,84
Kayla Rhodes,79
Donna Grant,62
Richard Pope,57
Jennifer Hernandez MD,65
Megan Curtis,80
Chelsea Fritz,84
Matthew Parrish,94
Martin Terrell,56
Bobby Bush,50
Tammy Sparks,68
Leslie Cunningham,82
Joel Warner,76
Sean Espinoza,57
Melissa Campbell,81
Dr. Paul Mccall,53
Patrick Nelson,62
Emily Johnson,58
Michael Cortez,63
Matthew Robinson,93
Marco King,98
Melanie Green,65
Devin Taylor,57
George Hale MD,99
David Vargas,66
Deborah Green,100
Shelly Freeman,92
Deborah Miller,59
Stephen Clarke,72
Taylor Swanson,64
Joseph Morgan,78
Lisa Wolfe,63
Carl Hall,89
Maria Hood,89
Selena Stone PhD,57
Jonathan Lopez,89
Mary Benjamin,68
Matthew Bush,69
Joshua Silva,98
Tiffany King,90
Samuel Wilson,83
Erik Rodriguez,80
Matthew Todd,77
Alexandra Pennington,84
Ronald Robles,94
Angel Mack,84
Katie Robinson,72
Lisa Williams,56
Bruce Barber,58
Andrea Watson,80
Brenda Rosales,89
Mitchell Henderson,61
Chelsey Collins,83
Samantha Welch,50
Jack Bell,79
Meghan Jackson,55
Theresa Gutierrez,71
James Campbell,100
Lucas Andrade,92
Veronica Brewer,92
Andrew Long,91
Jason Mendez,59
Morgan Ochoa,50
Michelle Koch,87
Walter Price,98
Steven Jennings,95
Kristin Ramirez,91
Lindsay Pace,62
Sandra Barry,73
Diana Lane,90
Christopher Liu,51
David Jones,77
Curtis Hardy,59
Karen Ramirez,95
John Adams,99
Kayla Burch,50
Joshua Lopez,79
Jill Reed,81
Christopher Reid,83
Tracy Smith,52
Mr. Steven Zimmerman,98
Julie Fuentes,64
Michael Holmes,79
Laura Wells,80
Marissa Stephens,91
Ann Johnson MD,57
Traci Higgins,72
Joshua Walker,60
Bruce Mckenzie,55
Brandon Mcbride,64
Robin White,67
Nicholas Campbell,68
Brandy Weeks,82
Christina Petty,60
Michelle Schneider,98
Elizabeth Sanchez,59
Tiffany Bennett,51
Christopher Peterson,58
John Hall,87
Andrew Powers,84
James Chang,83
Eric Cook,94
Pamela Knox,97
John Cox,71
Michael Bryant,93
Brooke Fox,63
Whitney Johnson,54
Barbara Hicks,95
Ralph Moore DDS,61
Katherine Harris,52
Tony Deleon,72
Tonya Palmer,85
Kyle Schultz,55
Steven Smith,67
Wanda Mitchell,77
Andrea Hodges,59
Larry Dixon,86
Nancy Anderson,51
Amanda Hartman,79
Jeanne Fuller,88
Andrew Wise,90
Cory Roman,81
Jose James,58
Wendy Best,95
John Mitchell,85
Judy Parker,87
Lauren Smith,97
David Mack,56
Andrew Brown,98
Bryan Jones,87
Elizabeth Reed,74
Valerie Woods,65
Leroy Santos,71
Tommy Castillo,72
Mary Jackson,66
Candace Schultz,56
Isabella Padilla,71
Paul Pierce,52
Zachary Butler,60
Sarah Thornton,67
Benjamin Gibson,95
Megan Williams,87
Margaret Duran DDS,67
Patricia Stephenson,100
Kevin Mitchell,56
Kristin Porter,58
Daniel Wright,58
Joseph Silva,73
Gina Mercado,69
Courtney Johnson,66
Kimberly Gardner,67
Kelli Finley,80
Daniel Richards,92
Danielle Lewis,95
Ellen Golden,72
Gregory Castaneda,58
Samantha Olson,63
Adam Sosa,54
Sarah Jackson,75
Melissa Farrell,100
Darryl Daniels,87
Robin Hardy,81
Amber Mitchell,87
Danielle Miller,72
Kathleen Noble,60
Jesse Young,83
James Hernandez,56
Vanessa Bernard,72
Mark Hurley,64
Jennifer Wilson,60
Michael Oliver,51
Anna Vargas,65
Felicia Wall,77
Cole Russell,77
Pamela Johnson,68
Sydney Mckay,82
Joyce Duran,82
Chad Holmes,98
Timothy Stevens,66
Gregory Allen,52
Dana Martinez,76
Nicholas Pitts,73
William Bates,73
Steven Bell,66
Dawn Carroll,59
Briana Smith,100
Francis Mcmahon Jr.,64
Sarah Cunningham,84
Martha Sanford,69
John Hernandez,98
Brian Johnson,62
Aaron Foster,61
Christina Williams,100
Joanna Stewart,52
Gerald Hall,85
Gail White,99
Gregory Rice,97
Keith Ortiz,81
Patricia Conway,55
Vincent Martin,87
Brittney Moore,79
Miranda Bullock,94
Austin Oneill,92
Brooke Jackson,83
Amanda Hernandez,95
Amanda Wheeler,57
Sophia Washington,79
Miss Elizabeth Contreras,70
Linda Page,54
Stacey Salazar,100
Joseph Anderson,54
James Copeland,85
Erin West,99
Heather Ramirez,98
Curtis Reynolds,52
Grace Taylor PhD,63
Gregory Cisneros,95
Kevin Gomez,94
Casey Castaneda,57
Jeremy Gonzalez,58
Michael Kline,82
Autumn Cline,69
Dean Fisher,99
Eric Byrd,53
Jason Browning,100
Vincent Evans,79
Amanda Mack,76
Elizabeth Smith,78
Angela Fisher,53
Monica Martin,69
Todd Mclaughlin,50
Kelly Villarreal,77
Shari Chavez,85
Denise Porter,94
Troy Wise,57
Richard Burton,76
Ashley Hughes,86
Billy Flores,55
Catherine Johnston,84
Susan Flores,63
Melissa Schmidt,62
Danielle Leach,98
Anthony Smith,52
Dawn Soto,52
David Collier,63
David Ortiz II,93
Patricia Jones,70
Susan Lara,88
Leah Anderson,52
Scott White,84
Karl Cummings,81
Ronald Alexander,97
Robert Aguirre,58
Joy Patel,100
Cody Smith,93
Wanda Smith,65
Cody Morrison,63
Nicole Ward,100
John Harris,50
Shannon Gonzalez,63
Richard Davis,92
Laura Mitchell,95
Dawn Tyler,99
Curtis Lewis PhD,71
Tonya Wallace,84
Aaron Scott,72
Brittany Underwood,90
Thomas Middleton,83
Elizabeth Roach,81
Edward Ward,87
Angela Frazier,70
Paige Torres,89
Rose Wong,84
Dennis Cox,95
Ryan Smith,68
Miranda Bryan,100
Danielle Cantu,76
Richard Chavez,86
Thomas Hendricks,52
Christina Jensen,52
Allison Stevens,62
Lindsey Johnson,77
Melissa Howard,66
Kyle Nichols,80
Lisa Baker,70
Louis Floyd,63
Barbara Brown,85
Sabrina Sanchez,80
Jordan Harding,65
Christopher Williams,85
Vickie Williams,64
William Lewis,85
David Bartlett,56
Corey Scott,54
Susan Blair,52
Rebekah Marsh,83
Tiffany Ashley,62
Stephanie Hall,69
Eric Herrera,60
Daniel Miranda,72
Dennis Brown,52
Christine Perez,98
Shannon Wade,54
Patrick Carroll,74
Donald Norris,98
Jamie Hahn,60
Amanda Chang,52
Rachael Smith,72
Teresa Hall,66
Luke Gibbs,99
Cheryl Miller,74
Kent Henderson,68
Caleb Macdonald,83
Jeffrey Williams,99
Brenda Hayden,70
Nicole Norton,88
Michael Williams,94
Brenda Gonzalez,100
Eric Collins,99
Kyle Jefferson,73
Laura Fleming,88
Christy Martin,81
Angela Walker,80
Kevin Stevenson,51
David Ortiz,86
Maria Collins PhD,76
Grant Ramos,68
Robert Bradley,56
Jennifer Garcia,80
Nicole Barnes,65
Gabrielle Lucas,80
Jeff Fernandez,58
Cynthia Martinez,85
Elizabeth Baker,51
Mitchell Rivera,97
Misty Allen,95
Kimberly Chase,94
Vanessa Jones,54
Jeffrey Ford,66
Mary Arellano,60
Daniel Coleman,68
Jesse Dyer,86
Anthony Sanchez,96
Zachary Mahoney,51
Megan Lopez,100
Patricia Bernard,79
Rachel Stevens,69
Russell Gardner,86
Ronnie Clark,65
Valerie Horn,68
Bobby Carlson,86
Heather Medina,52
John Johnson,83
Christopher Flynn,84
Monica Montoya,74
Dr. Andrea Adams MD,73
Lisa Martin,75
Kurt Flores,71
Crystal Jensen,62
Angela Carney,67
Tammy Bruce,100
Michael Stevens,89
Catherine Raymond,77
David Kramer,84
George Weber,69
Wanda Jefferson,66
Jeffrey Burton,63
Glen Lin,96
Vernon Gentry,100
John Carter DDS,80
Michael Fischer,50
Kiara Norman DDS,62
Todd Lewis,100
Elizabeth Williams,76
Jared Padilla,57
Katie Myers,96
Morgan Mercer,61
Zachary Nichols,93
Laura Thompson,57
Sean Ford,63
Heather Powell,58
Robert Watson,67
Anthony Richardson,76
Lucas Jackson,91
Ashley Johnson,64
Kevin Olson,71
Paul Mcconnell,66
Tommy Brown,92
Kevin Jones,74
Chris Johnson,59
Janet Holt,58
Carol Trujillo,98
Ryan Jenkins,86
Robert Howell,79
Martha Jackson,85
Ryan Franklin,93
Amanda Gray,98
Mrs. Judith Scott MD,56
Brian Brown,76
Denise Hughes,95
Tiffany Nichols,79
Catherine Phelps,50
Isabella Adams,89
Maria Myers DVM,96
Deborah Yoder,86
Jonathan Sanders,98
John Brooks,81
James Rodriguez,54
Olivia Stewart,71
David Stewart,95
David Greer,54
Charles Morrison,70
Nancy Gonzales,54
Mary Howard,55
Diana Nguyen,55
Linda Robinson,57
Vanessa Mckinney,63
Tammy Mayer,78
Kayla Santiago,74
Leah Blackburn,75
Kevin Ball,50
Joseph Leonard,95
Robert Fry,60
Richard Gardner,99
Ashley Avery,60
Jennifer Bishop,87
Robert Martinez,71
Patricia Hughes,69
David Campos,50
Carol Lopez,57
James Ortiz,98
Michaela Shea,59
Michael Holland,87
